doe_number,instance_number,cycle,cycling_substate,start_time,end_time,capacity,time,energy,energy_rest,battery_capacity_charge_bulk,capacity_charge_cc,capacity_charge_cv,time_charge_cc,time_charge_cv,wh_charge_bulk,energy_charge_cc,energy_charge_cv,avg_temp,max_temp,min_temp,ambient_temperature_deg_c_avg,ambient_temperature_deg_c_max,ambient_temperature_deg_c_min,delta_temp,mean_mean_voltage,min_mean_voltage,max_mean_voltage,mean_min_voltage,min_min_voltage,max_min_voltage,mean_max_voltage,min_max_voltage,max_max_voltage,mean_mean_current,min_mean_current,max_mean_current,mean_min_current,min_min_current,max_min_current,mean_max_current,min_max_current,max_max_current,avg_sum_cell_voltage_v,avg_cell1_voltage_v,min_cell1_voltage_v,max_cell1_voltage_v,avg_cell2_voltage_v,max_cell2_voltage_v,min_cell2_voltage_v,avg_cell3_voltage_v,min_cell3_voltage_v,max_cell3_voltage_v,avg_cell4_voltage_v,min_cell4_voltage_v,max_cell4_voltage_v,avg_cell5_voltage_v,min_cell5_voltage_v,max_cell5_voltage_v,avg_cell6_voltage_v,min_cell6_voltage_v,max_cell6_voltage_v,avg_rest_current_a,min_rest_current_a,max_rest_current_a,avg_rest_voltage_v,min_rest_voltage_v,max_rest_voltage_v,capacity_5_minutes,capacity_10_minutes,capacity_15_minutes,capacity_20_minutes,capacity_25_minutes,capacity_30_minutes,capacity_35_minutes,capacity_40_minutes,capacity_45_minutes,capacity_50_minutes,capacity_55_minutes,capacity_60_minutes,capacity_90_minutes,capacity_120_minutes,capacity_150_minutes,capacity_180_minutes,dcir
testCell,21,191,CHARGE REST,2023-12-01 21:19:09.582,2023-12-01 21:49:05.898,,29.9386,,0.0667,,,,,,,,,1.2783432368704144,4.1993256,0.1993866,25.53368642420538,26.211243,24.942856,3.999939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testCell,21,191,DCIR,2023-12-01 21:49:06.505,2023-12-01 21:49:31.749,0.0543,0.4207333333333333,,0.222,,,,,,,,,0.2646917232653061,0.39938354,0.1993866,25.7736423877551,25.802689,25.735931,0.1999969399999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5051744,2.5051744,2.5051744,2.5051744,2.5051744,2.5051744,2.5051744,2.5051744,2.5051744,2.5051744,2.5051744,2.5051744,2.5051744,2.5051744,2.5051744,2.5051744,0.0263
testCell,21,191,DISCHARGE,2023-12-01 21:49:31.750,2023-12-01 22:04:35.270,2.5155,15.058666666666666,8.4884,,,2.5155,,15.0498,,,8.4884,,9.794169763650702,18.599106,0.39938354,25.90915564338028,26.029663,25.741272,18.19972246,3.381227787380281,2.5009003,3.874878,3.3806412907605634,2.5009003,3.8733826,3.382483160338029,2.5023956,3.8794098,10.007604664225369,6.824524,10.058899,9.96432827098592,6.759842,10.02655,10.038361608225362,6.8568726,10.123581,,,,,,,,,,,,,,,,,,,,,,,,,,1.6711923,0.83600795,-0.0006054062,-0.010531965,-0.010531965,-0.010531965,-0.010531965,-0.010531965,-0.010531965,-0.010531965,-0.010531965,-0.010531965,-0.010531965,-0.010531965,-0.010531965,-0.010531965,
testCell,21,191,DISCHARGE REST,2023-12-01 22:04:35.317,2023-12-01 22:34:31.909,,29.9432,,0.0,,,,,,,,,5.706515278190704,19.199097,0.79937744,25.471502688875308,26.013641,24.921494,18.39971956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testCell,22,191,CHARGE,2023-12-02 04:32:15.727,2023-12-02 05:08:51.961,2.5518,36.6039,10.1877,,1.8484,,0.7024,,16.767383333333335,7.2395,,2.9483,7.531468048860012,12.599197,1.1993713,25.70363771659827,26.731949,25.225906,11.3998257,3.9603130284997694,3.2648773,4.2028503,3.7944405743502063,3.1190643,4.0720825,4.072285230574556,3.2844238,4.323105,4.17904587820337,7.5250244,0.16217041,13.612205363807549,18.942291,0.45410156,9.287267564847248,0.32435608,10.606369,,,,,,,,,,,,,,,,,,,,,,,,,,0.000290777,0.6232561,1.2451187,1.86758,2.256403,2.4431608,2.53247,2.5505724,2.5505724,2.5505724,2.5505724,2.5505724,2.5505724,2.5505724,2.5505724,2.5505724,
testCell,22,191,CHARGE REST,2023-12-02 05:08:52.312,2023-12-02 05:38:49.312,,29.95,,0.0392,,,,,,,,,1.8846909527506088,4.9993134,0.5993805,26.16725149449878,26.75064,25.231247,4.3999329000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testCell,22,191,DCIR,2023-12-02 05:38:49.921,2023-12-02 05:39:15.173,0.0542,0.4208666666666666,,0.2219,,,,,,,,,0.6891750444897959,0.79937744,0.5993805,26.707207795918368,26.74263,26.65718,0.19999694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4956846,2.4956846,2.4956846,2.4956846,2.4956846,2.4956846,2.4956846,2.4956846,2.4956846,2.4956846,2.4956846,2.4956846,2.4956846,2.4956846,2.4956846,2.4956846,0.0264
testCell,22,191,DISCHARGE,2023-12-02 05:39:15.174,2023-12-02 05:54:06.831,2.4814,14.86095,8.3878,,,2.4814,,14.852066666666667,,,8.3878,,8.577442645962305,15.9991455,0.79937744,26.20123098515134,26.665192,25.687866,15.199768059999998,3.385919131753284,2.508789,3.8751678,3.385231710850942,2.5072784,3.8721619,3.387246228440889,2.5102844,3.8781738,10.006790162193033,6.843872,10.346893,9.960426482581385,6.811432,10.314453,10.042505931753292,6.876297,10.444199,,,,,,,,,,,,,,,,,,,,,,,,,,1.6618806,0.82674,0.014111701,0.014111701,0.014111701,0.014111701,0.014111701,0.014111701,0.014111701,0.014111701,0.014111701,0.014111701,0.014111701,0.014111701,0.014111701,0.014111701,
testCell,22,191,DISCHARGE REST,2023-12-02 05:54:06.866,2023-12-02 06:24:03.848,,29.9497,,0.0087,,,,,,,,,6.04171797658924,16.799133,1.1993713,26.405876653422972,26.65718,25.701218,15.599761700000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testCell,23,191,CHARGE,2023-11-30 23:08:56.961,2023-11-30 23:45:16.134,2.5275,36.31955,10.0846,,1.8236,,0.7029,,16.737466666666666,7.1393,,2.9454,4.761418392007346,7.9992676,0.5993805,26.01627363317274,26.873474,25.372772,7.3998871,3.9654115864647856,3.2913055,4.2034607,3.7928170217251647,3.1299744,4.0662537,4.082835763202571,3.3063812,4.3270874,4.165780573562745,7.5395813,0.16178894,13.582148899123604,19.026932,0.48538208,9.276075137086476,0.32359314,11.09903,,,,,,,,,,,,,,,,,,,,,,,,,,0.0010799572,0.6262537,1.251434,1.8728316,2.2452807,2.4253116,2.51174,2.526414,2.526414,2.526414,2.526414,2.526414,2.526414,2.526414,2.526414,2.526414,
